序号,名称,挂牌时间,小区,区县,街区,街道,环路,总价,单价,面积,年代,户型,楼型,朝向,装修,URL
467,常青花园十号小区2室2厅140万,2017-01-06,常青花园十号小区,东西湖,常青花园,, ,140,16481,84.95,2005年建/板楼,2室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100299021.html
468,江花苑三房，户型方正，采光好，交通便利。,2017-01-06,江花苑,江汉,姑嫂树,, 一至二环,150,12107,123.9,2006年建/塔楼,3室2厅,低楼层/共18层,东南,其他,http://wh.lianjia.com/ershoufang/104100299012.html
469,保利心语一期3室2厅185万,2017-01-06,保利心语一期,洪山,珞狮南路,, 二至三环,185,16479,112.27,2009年建/板楼,3室2厅,低楼层/共18层,南,精装,http://wh.lianjia.com/ershoufang/104100299011.html
470,碧桂园生态城依云朝南户型楼栋位置好采光充足,2017-01-06,碧桂园生态城依云,洪山,洪山其它,, ,115,11856,97,2016年建/板楼,3室1厅,低楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100299008.html
471,万科高尔夫城市花园2室1厅170万,2017-01-06,万科高尔夫城市花园,东西湖,金银湖,, 三至四环,170,15179,112,2012年建/板楼,2室1厅,高楼层/共11层,南北,精装,http://wh.lianjia.com/ershoufang/104100298994.html
472,螃蟹岬地铁口南北通透双阳台地暖三房看房方便,2017-01-06,友谊国际,武昌,螃蟹甲,, 一环内,325,24810,131,2007年建/塔楼,3室2厅,低楼层/共19层,南北,简装,http://wh.lianjia.com/ershoufang/104100298950.html
473,凤凰花园一期2室2厅115万,2017-01-06,凤凰花园一期,江夏,光谷南,, 三至四环,115,11842,97.12,2005年建/板楼,2室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100298884.html
474,联投龙湾二期3室2厅113万,2017-01-06,联投龙湾二期,江夏,江夏其它,, 三至四环,113,12469,90.63,未知年建/板楼,3室2厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100298801.html
475,迪雅花园大五房出售户型方正交通便利,2017-01-06,迪雅花园,洪山,老南湖,, 三至四环,249.5,10848,230,1999年建/板楼,5室3厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100298797.html
476,山水华庭南北通透3房户型方正采光充足居住舒适！,2017-01-06,山水华庭,洪山,民族大道,, 二至三环,205,15489,132.36,2005年建/板塔结合,3室2厅,低楼层/共6层,南北,简装,http://wh.lianjia.com/ershoufang/104100298792.html
477,创业街金梭花园电梯房居家装修两证满两年温馨三居室,2017-01-06,金梭花园,洪山,关山大道,, 三至四环,162,14385,112.62,2002年建/塔楼,3室2厅,高楼层/共12层,南北,其他,http://wh.lianjia.com/ershoufang/104100298789.html
478,三房两厅可拎包入住客厅出阳台一年才出一套房,2017-01-06,长青广场,江岸,三阳路,, 二至三环,232,18975,122.27,2004年建/板楼,3室2厅,低楼层/共18层,东北,精装,http://wh.lianjia.com/ershoufang/104100298777.html
479,正规两房，出租装修，南湖一小，南湖中学,2017-01-06,水域天际,洪山,新南湖,, 一至二环,130,18056,72,2014年建/塔楼,2室2厅,低楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100298763.html
480,保利茉莉公馆3室2厅200万,2017-01-06,保利茉莉公馆,洪山,关山大道,, 二至三环,200,21979,91,2014年建/板楼,3室2厅,高楼层/共34层,南,其他,http://wh.lianjia.com/ershoufang/104100298699.html
481,龙阳1号2室2厅140万,2017-01-06,龙阳1号,汉阳,龙阳大道,, 二至三环,140,15385,91,2015年建/板楼,2室2厅,高楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100298637.html
482,联投龙湾二期3室2厅116万,2017-01-06,联投龙湾二期,江夏,江夏其它,, 三至四环,116,12814,90.53,未知年建/塔楼,3室2厅,高楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100298621.html
483,金地格林东郡2室2厅152万,2017-01-06,金地格林东郡,洪山,民族大道,, 二至三环,152,19741,77,2016年建/板楼,2室2厅,中楼层/共34层,东,其他,http://wh.lianjia.com/ershoufang/104100298613.html
484,裕亚银湖城一期3室2厅180万,2017-01-06,裕亚银湖城一期,东西湖,金银湖,, 三至四环,180,13584,132.51,2016年建/板楼,3室2厅,中楼层/共33层,南北,平层/其他,http://wh.lianjia.com/ershoufang/104100298572.html
485,南国SOHO1室1厅35万,2017-01-06,南国SOHO,洪山,老南湖,, 一至二环,35,10445,33.51,2008年建/塔楼,1室1厅,低楼层/共18层,北,其他,http://wh.lianjia.com/ershoufang/104100298486.html
486,当代国际花园未来域精装两房，业主诚心出售,2017-01-06,当代国际花园四期,江夏,光谷南,, 二至三环,160,18016,88.81,2013年建/塔楼,2室2厅,高楼层/共34层,南西,其他,http://wh.lianjia.com/ershoufang/104100298460.html
487,岳家嘴东湖花园中装地铁口3房满两年,2017-01-06,东湖花园一期,洪山,东湖东亭,, ,226,16851,134.12,2003年建/板楼,3室2厅,低楼层/共16层,南,精装,http://wh.lianjia.com/ershoufang/104100298376.html
488,常青花园三区74.81平小三房视野开阔,2017-01-06,常青花园三区,东西湖,常青花园,, 二至三环,110,14704,74.81,2001年建/板楼,3室1厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100298344.html
489,复地翠微四期低楼层精装修,2017-01-06,复地翠微新城四期,汉阳,钟家村,, 一至二环,258,14945,172.64,2003年建/板楼,5室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100298332.html
490,狮城公寓，安静舒适，阳台后可以做院子，面积大,2017-01-06,狮城公寓,洪山,新南湖,, 一至二环,185,13984,132.3,2000年建/板楼,3室2厅,低楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100298183.html
491,宝业光谷丽都2室2厅126万,2017-01-06,宝业光谷丽都,洪山,中南财大,, 二至三环,126,13994,90.04,2015年建/板楼,2室2厅,低楼层/共34层,南北,平层/其他,http://wh.lianjia.com/ershoufang/104100298179.html
492,沿河大道财富时代高层两居室,2017-01-06,财富时代,硚口,武胜路,, ,120,14472,82.92,2008年建/塔楼,1室2厅,高楼层/共29层,南,其他,http://wh.lianjia.com/ershoufang/104100298160.html
493,万科魅力之城精装一房采光通风好,2017-01-06,万科魅力之城北区,江夏,光谷南,, 三至四环,75,16678,44.97,2013年建/板楼,1室0厅,低楼层/共24层,东西,其他,http://wh.lianjia.com/ershoufang/104100298149.html
494,东南朝向，高层，采光好，两证满两年，精装修,2017-01-06,扶轮大厦,江岸,三阳路,, 二至三环,150,16785,89.37,2010年建/板楼,2室1厅,高楼层/共30层,东南,精装,http://wh.lianjia.com/ershoufang/104100298145.html
495,扶轮大厦1室1厅146.2万,2017-01-06,扶轮大厦,江岸,三阳路,, 二至三环,146.2,16799,87.03,2010年建/板楼,1室1厅,高楼层/共30层,东东南,其他,http://wh.lianjia.com/ershoufang/104100298142.html
496,金地阳光城2房2厅1卫小区中间位置,2017-01-06,金地阳光城小区,洪山,民族大道,, ,165,18410,89.63,2006年建/板楼,2室2厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100298134.html
497,光谷中心花园4室2厅300万,2017-01-06,光谷中心花园,洪山,鲁磨路,, 二至三环,300,20690,145,2005年建/塔楼,4室2厅,低楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100298121.html
498,统建锦绣江南2室2厅265万,2017-01-06,统建锦绣江南,武昌,中北路,, 一至二环,265,29380,90.2,2010年建/板塔结合,2室2厅,高楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100298104.html
499,佳园小区2室1厅93万,2017-01-06,佳园小区,江岸,百步亭,, 二至三环,93,14607,63.67,2000年建/塔楼,2室1厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100298012.html
500,1-1-1-133.15m²45万,2017-01-06,南国SOHO,洪山,老南湖,, 一至二环,45,13575,33.15,2008年建/塔楼,1室1厅,中楼层/共18层,北,其他,http://wh.lianjia.com/ershoufang/104100298011.html
501,汤逊湖山庄简装四房南北通透明厨明卫采光充足,2017-01-06,汤逊湖山庄,江夏,江夏其它,, 三至四环,102,6973,146.29,未知年建/板楼,4室2厅,低楼层/共3层,南北,其他,http://wh.lianjia.com/ershoufang/104100298004.html
502,爱特城1室0厅94万,2017-01-06,爱特城,江汉,武广万松园,, 一至二环,94,24901,37.75,2016年建/板塔结合,1室0厅,中楼层/共30层,东,平层/其他,http://wh.lianjia.com/ershoufang/104100297953.html
503,吴家山核心地带两证满五中间楼层,2017-01-06,东吴里,东西湖,吴家山,, 二至三环,65,11281,57.62,2000年建/塔楼,2室1厅,中楼层/共6层,南北,简装,http://wh.lianjia.com/ershoufang/104100297895.html
504,才华茗苑2室2厅155万,2017-01-06,才华茗苑,武昌,徐东,, 二至三环,155,17154,90.36,2007年建/塔楼,2室2厅,中楼层/共10层,南北,其他,http://wh.lianjia.com/ershoufang/104100297796.html
505,标准三房，南北向，新证，毛坯，看房有钥匙,2017-01-06,中大十里新城,汉阳,龙阳大道,, 二至三环,155,16093,96.32,2015年建/板楼,3室2厅,低楼层/共33层,东南,毛坯,http://wh.lianjia.com/ershoufang/104100297784.html
506,观澜国际四室两厅中间楼层南北通透,2017-01-06,观澜国际,汉阳,四新,, 二至三环,158,12062,131,2014年建/板楼,4室2厅,中楼层/共34层,南北,其他,http://wh.lianjia.com/ershoufang/104100297763.html
507,顶琇晶城3室2厅197万,2017-01-06,顶琇晶城,江汉,唐家墩,, 二至三环,197,17748,111,2009年建/板楼,3室2厅,低楼层/共30层,南北,其他,http://wh.lianjia.com/ershoufang/104100297758.html
508,精装两房两证满两年后期税费少楼层好小区环境好,2017-01-06,中大长江紫都三期,洪山,武泰闸,, 二至三环,135,14353,94.06,未知年建/板楼,2室2厅,高楼层/共32层,南北,其他,http://wh.lianjia.com/ershoufang/104100297712.html
509,汀香水榭3室2厅131万,2017-01-06,汀香水榭,东西湖,金银湖,, ,131,11697,112,2003年建,3室2厅,低楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100297696.html
510,产权满两年的顶楼复式房南北通透带大露台,2017-01-05,金地太阳城,洪山,关山大道,, 三至四环,200,19732,101.36,2004年建/板楼,4室2厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100297677.html
511,金地澜菲溪岸南北通透精装修视野开阔不动产证已办,2017-01-05,金地澜菲溪岸,汉阳,四新,, 二至三环,151,12854,117.48,2016年建/板楼,3室2厅,高楼层/共34层,南北,其他,http://wh.lianjia.com/ershoufang/104100297654.html
512,光谷关山大道保利花园中装三房南北通透采光好,2017-01-05,保利花园,洪山,关山大道,, 二至三环,200,18006,111.08,2005年建/板楼,3室2厅,低楼层/共11层,南北,其他,http://wh.lianjia.com/ershoufang/104100297614.html
513,范湖双地铁口交通便利菱角湖万达带入户花园南北向,2017-01-05,菱角湖万达广场B区,江汉,唐家墩,, 二至三环,300,20745,144.62,2010年建/板楼,3室2厅,中楼层/共33层,南,简装,http://wh.lianjia.com/ershoufang/104100297601.html
514,福星惠誉东澜岸1室0厅37万,2017-01-05,福星惠誉东澜岸,洪山,白沙洲,, ,37,9867,37.5,2014年建/塔楼,1室0厅,中楼层/共23层,北,精装,http://wh.lianjia.com/ershoufang/104100297566.html
515,楚雄大道狮城名居大三房双卫南北通透楼层好采光充足,2017-01-05,狮城名居,洪山,小何西村,, 二至三环,215,14094,152.55,2002年建/塔楼,3室2厅,中楼层/共17层,南北,简装,http://wh.lianjia.com/ershoufang/104100297552.html
516,珞珈雅苑3室2厅215万,2017-01-05,珞珈雅苑,洪山,珞狮南路,, 二至三环,215,16045,134,2014年建/板楼,3室2厅,中楼层/共30层,南,简装,http://wh.lianjia.com/ershoufang/104100297548.html
517,万科城花璟苑2室2厅180万,2017-01-05,万科城花璟苑,洪山,关山大道,, 二至三环,180,21177,85,2015年建/板楼,2室2厅,高楼层/共34层,南,其他,http://wh.lianjia.com/ershoufang/104100297545.html
518,颐和苑3室2厅160万,2017-01-05,颐和苑,洪山,老南湖,, 一至二环,160,12168,131.5,2001年建/塔楼,3室2厅,中楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100297523.html
519,常青花园四小区3室1厅165万,2017-01-05,常青花园四小区,东西湖,常青花园,, 二至三环,165,15191,108.62,2000年建/板楼,3室1厅,中楼层/共6层,东南,简装,http://wh.lianjia.com/ershoufang/104100297446.html
520,保利华都1室1厅118万,2017-01-05,保利华都,洪山,体院虎泉,, 二至三环,118,21852,54,2012年建/板楼,1室1厅,高楼层/共29层,北,其他,http://wh.lianjia.com/ershoufang/104100297428.html
521,金银湖1号花园洋房采光好视野好业主诚心出售,2017-01-05,金银湖1号,东西湖,金银湖,, 三至四环,180,13741,131,2013年建/板楼,4室2厅,中楼层/共5层,南北,其他,http://wh.lianjia.com/ershoufang/104100297425.html
522,鑫瑞小城故事2室1厅85万,2017-01-05,鑫瑞小城故事,汉阳,王家湾,, 二至三环,85,13177,64.51,2009年建/塔楼,2室1厅,高楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100297363.html
523,两证满了两年，房东诚心出售，中间楼层,2017-01-05,健龙尚谷杰座二期,洪山,鲁巷,, 二至三环,175,24036,72.81,2012年建/板楼,2室2厅,高楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100297281.html
524,锦苑公寓3室2厅207万,2017-01-05,锦苑公寓,江岸,后湖,, 一至二环,207,15361,134.76,2005年建/塔楼,3室2厅,中楼层/共19层,南,其他,http://wh.lianjia.com/ershoufang/104100297277.html
525,紫竹园4室2厅329万,2017-01-05,紫竹园,江岸,后湖,, 二至三环,329,19128,172,未知年建/板楼,4室2厅,低楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100297271.html
526,阜华大厦3室2厅203万,2017-01-05,阜华大厦,洪山,街道口,, 一至二环,203,14397,141.01,2005年建/塔楼,3室2厅,低楼层/共30层,南,其他,http://wh.lianjia.com/ershoufang/104100297259.html
527,武泰闸河街54号标准小户型中间楼层,2017-01-05,武泰闸河街54号,武昌,武泰闸,, 二至三环,55,13350,41.2,未知年建/板楼,1室1厅,中楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100297249.html
528,金地圣爱米伦中间楼层客厅两卧朝南有钥匙看房方便,2017-01-05,金地圣爱米伦,洪山,新南湖,, 二至三环,165,18326,90.04,2014年建/板楼,2室2厅,低楼层/共32层,南,毛坯,http://wh.lianjia.com/ershoufang/104100297246.html
529,次新小区商圈地段物业管理严格,2017-01-05,东原时光道,洪山,徐东,, 一环内,190,22443,84.66,2015年建/板塔结合,2室2厅,低楼层/共33层,南,毛坯,http://wh.lianjia.com/ershoufang/104100297245.html
530,御景东方2室2厅90万,2017-01-05,御景东方,江岸,后湖,, 二至三环,90,9994,90.06,2007年建/塔楼,2室2厅,高楼层/共18层,南北,其他,http://wh.lianjia.com/ershoufang/104100297243.html
531,武汉大道与兴业路交汇金岛金桥壹号,2017-01-05,金岛金桥壹号,江岸,后湖,, 二至三环,90,20916,43.03,2015年建/塔楼,1室1厅,低楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100297238.html
532,江城华庭正规3居室明厨明卫随时看房,2017-01-05,江城华庭,江汉,武广万松园,, 一环内,290,22991,126.14,2003年建/塔楼,3室2厅,中楼层/共28层,东南,其他,http://wh.lianjia.com/ershoufang/104100297237.html
533,桃花源2室2厅86万,2017-01-05,桃花源,江夏,江夏其它,, 三至四环,86,9946,86.47,未知年建/板楼,2室2厅,高楼层/共18层,南北,其他,http://wh.lianjia.com/ershoufang/104100297225.html
534,此房两证齐全满两年后期税费低房屋采光充足,2017-01-05,康怡花园,江岸,台北香港路,, 一环内,85,14022,60.62,1999年建/板楼,2室1厅,高楼层/共8层,南,其他,http://wh.lianjia.com/ershoufang/104100297197.html
535,红玫苑此房证满了5年中装修看房方便诚心出售,2017-01-05,华苑社区,江汉,杨汊湖,, 二至三环,145,12289,118,1999年建/板楼,2室2厅,中楼层/共12层,南北,其他,http://wh.lianjia.com/ershoufang/104100297190.html
536,吉祥谷2室1厅95万,2017-01-05,吉祥谷,江岸,后湖,, ,95,14727,64.51,2005年建/塔楼,2室1厅,低楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100297170.html
537,福星惠誉东澜岸1室0厅35万,2017-01-05,福星惠誉东澜岸,洪山,白沙洲,, ,35,10990,31.85,2014年建/塔楼,1室0厅,中楼层/共23层,南,其他,http://wh.lianjia.com/ershoufang/104100297167.html
538,银湖御园3室2厅180万,2017-01-05,银湖御园,东西湖,金银湖,, 三至四环,180,12882,139.74,2011年建/板楼,3室2厅,高楼层/共23层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100297117.html
539,成熟社区，电梯房，采光很好，适宜居家。,2017-01-05,观园小区,江岸,堤角,, 一至二环,130,14448,89.98,未知年建/板楼,2室2厅,高楼层/共11层,南北,精装,http://wh.lianjia.com/ershoufang/104100297099.html
540,仪表厂宿舍小两房两证满两年地质大学旁,2017-01-05,仪表厂宿舍,洪山,鲁磨路,, 二至三环,110,17351,63.4,2000年建/板楼,2室2厅,低楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100297031.html
541,融侨华府精装修小三房中间楼层新不动产登记证,2017-01-05,融侨华府,武昌,三层楼,, 一环内,320,28095,113.9,2009年建/板楼,3室2厅,高楼层/共27层,南北,其他,http://wh.lianjia.com/ershoufang/104100297024.html
542,世茂锦绣长江四期3室1厅160万,2017-01-05,世茂锦绣长江四期,汉阳,鹦鹉大道,, 一环内,160,17662,90.59,2015年建/塔楼,3室1厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100296994.html
543,水仙里社区2室1厅82万,2017-01-05,水仙里社区,汉阳,王家湾,, 二至三环,82,11461,71.55,1993年建/板楼,2室1厅,低楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100296993.html
544,球横小区2室1厅66万,2017-01-05,球横小区,江岸,三阳路,, 二至三环,66,15530,42.5,1998年建/板楼,2室1厅,高楼层/共8层,东北,简装,http://wh.lianjia.com/ershoufang/104100296992.html
545,世茂锦绣长江三期3室2厅236万,2017-01-05,世茂锦绣长江三期,汉阳,鹦鹉大道,, 一至二环,236,23029,102.48,2009年建/板塔结合,3室2厅,中楼层/共31层,南北,精装,http://wh.lianjia.com/ershoufang/104100296985.html
546,招商公园1872墨水湖边风景空气佳,2017-01-05,招商公园1872,汉阳,四新,, 二至三环,146,13446,108.59,2014年建/板楼,3室2厅,中楼层/共47层,南北,平层/其他,http://wh.lianjia.com/ershoufang/104100296936.html
547,楚天都市金园3室2厅210万,2017-01-05,楚天都市金园,江汉,常码头,, 一至二环,210,16143,130.09,2011年建/板楼,3室2厅,高楼层/共32层,东,其他,http://wh.lianjia.com/ershoufang/104100296916.html
548,居家南北通透三房户型好两证齐全,2017-01-05,二十五中教师宿舍,武昌,中南丁字桥,, 一至二环,100,13990,71.48,未知年建/板楼,3室1厅,高楼层/共4层,南北,简装,http://wh.lianjia.com/ershoufang/104100296910.html
549,军威苑小区2室2厅115万,2017-01-05,军威苑小区,洪山,老南湖,, 二至三环,115,14716,78.15,2010年建/板楼,2室2厅,中楼层/共19层,南北,其他,http://wh.lianjia.com/ershoufang/104100296888.html
550,沿海赛洛城2室2厅90万,2017-01-05,沿海赛洛城,东西湖,金银湖,, 三至四环,90,10108,89.04,2007年建/板楼,2室2厅,低楼层/共18层,南北,其他,http://wh.lianjia.com/ershoufang/104100296838.html
551,爱家皇家公馆1室1厅125万,2017-01-05,爱家皇家公馆,洪山,徐东,, 一至二环,125,19489,64.14,2001年建/板楼,1室1厅,中楼层/共24层,南,其他,http://wh.lianjia.com/ershoufang/104100296822.html
552,材料厂宿舍2室1厅105万,2017-01-05,材料厂宿舍,洪山,徐东,, ,105,17486,60.05,未知年建/板楼,2室1厅,低楼层/共8层,南,简装,http://wh.lianjia.com/ershoufang/104100296813.html
553,美好范米粒温馨小房型精装修近地铁交通便利,2017-01-05,美好范米粒,汉阳,五里新村,, 一至二环,55,17097,32.17,2000年建/塔楼,1室0厅,中楼层/共33层,南,其他,http://wh.lianjia.com/ershoufang/104100296757.html
554,美加橘郡4室2厅330万,2017-01-05,美加橘郡,江夏,江夏其它,, 三至四环,330,11179,295.2,2012年建/板楼,4室2厅,低楼层/共3层,南北,其他,http://wh.lianjia.com/ershoufang/104100296734.html
555,一房出售户型方正楼层好采光充足业主诚心,2017-01-05,丽岛2046,洪山,中南丁字桥,, 一至二环,78,20000,39,2014年建/塔楼,1室0厅,高楼层/共46层,西,平层/其他,http://wh.lianjia.com/ershoufang/104100296709.html
556,此房子产证清晰看房方便房东诚心出售,2017-01-05,佳源花都一期,江夏,流芳,, 二至三环,180,8373,215,2010年建/板楼,6室2厅,高楼层/共7层,南,其他,http://wh.lianjia.com/ershoufang/104100296684.html
557,日月星城2室2厅160万,2017-01-05,日月星城,江岸,塔子湖,, 二至三环,160,16401,97.56,2006年建/塔楼,2室2厅,高楼层/共18层,南,其他,http://wh.lianjia.com/ershoufang/104100296677.html
558,金地格林小城梦茵区2室2厅160万,2017-01-05,金地格林小城梦茵区,洪山,新南湖,, 二至三环,160,17978,89,2007年建/板楼,2室2厅,中楼层/共18层,南,精装,http://wh.lianjia.com/ershoufang/104100296649.html
559,绿地国际金融城一期2室2厅280万,2017-01-05,绿地国际金融城一期,武昌,滨江商务区,, 一至二环,280,28572,98,2013年建/板塔结合,2室2厅,低楼层/共48层,南,其他,http://wh.lianjia.com/ershoufang/104100296631.html
560,武汉天地四期B13经典小户型精装两房,2017-01-05,武汉天地四期B13,江岸,黄埔永清,, 一环内,460,45599,100.88,2014年建/板楼,2室2厅,低楼层/共31层,南,精装,http://wh.lianjia.com/ershoufang/104100296624.html
561,保利心语六期3室2厅140万,2017-01-05,保利心语六期,洪山,珞狮南路,, 二至三环,140,16280,86,2014年建/板楼,3室2厅,低楼层/共24层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100296613.html
562,大华三期精装一室一厅，两证满二，看房方便,2017-01-05,大华南湖公园世家三期,洪山,新南湖,, 二至三环,78,18873,41.33,2013年建/板楼,1室0厅,高楼层/共25层,东南,精装,http://wh.lianjia.com/ershoufang/104100296582.html
563,永清庭苑老证带双车位售一梯两户四个阳台楼层视野好,2017-01-05,永清庭苑,江岸,解放公园,, 一至二环,580,30708,188.88,2003年建/板楼,3室2厅,高楼层/共12层,东南,精装,http://wh.lianjia.com/ershoufang/104100296554.html
564,此房两证满五年，精装修，经典复式二层，实际面积要大,2017-01-05,柒零社区,洪山,关西长职,, 二至三环,140,15090,92.78,2007年建/塔楼,3室3厅,高楼层/共7层,南北,其他,http://wh.lianjia.com/ershoufang/104100296516.html
565,此房已满两年精装修环境优美视野开阔,2017-01-05,远洋世界,东西湖,金银湖,, 三至四环,125,9611,130.06,2011年建/板楼,3室2厅,低楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100296502.html
566,电业村2室1厅174万,2017-01-05,电业村,江汉,武广万松园,, 一环内,174,20000,87,1996年建/板楼,2室1厅,中楼层/共22层,西北,其他,http://wh.lianjia.com/ershoufang/104100296474.html
567,此房两证满两年简单装修交通便利,2017-01-05,祥泰家园F区,东西湖,吴家山,, ,172,8398,204.82,2003年建/板楼,4室3厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100296465.html
568,宝安春天里精装两房全朝南户型楼层好,2017-01-05,春天里,洪山,老南湖,, 二至三环,175,20234,86.49,2012年建/塔楼,2室2厅,低楼层/共31层,南,其他,http://wh.lianjia.com/ershoufang/104100296439.html
569,电建小区两证满五两房带双阳台，朝南的户型。,2017-01-05,电建小区,江汉,常码头,, 二至三环,90,9725,92.55,1996年建/塔楼,2室2厅,高楼层/共9层,东南,其他,http://wh.lianjia.com/ershoufang/104100296401.html
570,城投瀚城产权清晰中间楼层采光充足随时看房！,2017-01-05,城投瀚城,洪山,杨家湾,, 二至三环,195,22492,86.7,2012年建/板楼,2室1厅,高楼层/共16层,南北,其他,http://wh.lianjia.com/ershoufang/104100296395.html
571,世界城尚都一室一厅业主诚心出售,2017-01-05,世界城尚都,洪山,鲁巷,, ,105,18750,56,2006年建/塔楼,1室1厅,低楼层/共30层,南,其他,http://wh.lianjia.com/ershoufang/104100296392.html
572,古田四路香港映象45平米单身民用住宅性质公寓,2017-01-05,香港映象,硚口,古田,, 二至三环,75,16656,45.03,2006年建/板楼,1室0厅,中楼层/共26层,东北,其他,http://wh.lianjia.com/ershoufang/104100296363.html
573,景江华庭复式楼，单层面积57.73平，可做两房,2017-01-05,景江华庭,江汉,前进江汉,, 一环内,108,18708,57.73,2004年建/塔楼,1室1厅,高楼层/共22层,北,其他,http://wh.lianjia.com/ershoufang/104100296344.html
574,六合新界精装修3房两卫双阳台南北通透拎包入住,2017-01-05,六合新界,江岸,三阳路,, 二至三环,380,31987,118.8,2006年建/塔楼,3室2厅,低楼层/共11层,西南,其他,http://wh.lianjia.com/ershoufang/104100296299.html
575,橡树湾三期4室2厅500万,2017-01-05,橡树湾三期,武昌,徐东,, 一至二环,500,29586,169,2015年建/板塔结合,4室2厅,低楼层/共32层,南,其他,http://wh.lianjia.com/ershoufang/104100296273.html
576,三阳广场2室2厅205万,2017-01-04,三阳广场,江岸,三阳路,, 二至三环,205,15008,136.6,2002年建/塔楼,2室2厅,高楼层/共30层,南,其他,http://wh.lianjia.com/ershoufang/104100296261.html
577,常青花园五小区3室2厅205万,2017-01-04,常青花园五小区,东西湖,常青花园,, 三至四环,205,16505,124.21,2006年建/板楼,3室2厅,低楼层/共11层,南北,毛坯,http://wh.lianjia.com/ershoufang/104100296235.html
578,马沧湖路34到164号2室1厅86万,2017-01-04,马沧湖路34到164号,汉阳,五里新村,, 一至二环,86,11467,75,2000年建/板楼,2室1厅,中楼层/共6层,南,其他,http://wh.lianjia.com/ershoufang/104100296228.html
579,丽岛漫城2室1厅147万,2017-01-04,丽岛漫城,洪山,关山大道,, 二至三环,147,23012,63.88,2010年建/板塔结合,2室1厅,高楼层/共13层,南,其他,http://wh.lianjia.com/ershoufang/104100296217.html
580,园丁苑3室1厅108万,2017-01-04,园丁苑,江汉,杨汊湖,, 一至二环,108,12531,86.19,2005年建/板楼,3室1厅,中楼层/共7层,西,其他,http://wh.lianjia.com/ershoufang/104100296216.html
581,万科精装的两房，安静舒适，价格可谈,2017-01-04,万科金域华府,武昌,徐东,, 一至二环,100,19475,51.35,2010年建/板楼,2室1厅,低楼层/共32层,东北,其他,http://wh.lianjia.com/ershoufang/104100296184.html
582,金湖家园毛坯新证复式楼诚意出售！,2017-01-04,金湖家园,东西湖,金银湖,, ,150,12042,124.57,2004年建/板楼,3室2厅,高楼层/共6层,南北,其他,http://wh.lianjia.com/ershoufang/104100296166.html
583,光谷高新大道保利茉莉公馆毛坯三房朝南采光好,2017-01-04,保利茉莉公馆,洪山,关山大道,, 二至三环,175,19160,91.34,2015年建/板楼,3室2厅,中楼层/共34层,南,其他,http://wh.lianjia.com/ershoufang/104100296158.html
584,集贤里社区2室2厅135万,2017-01-04,集贤里社区,硚口,武胜路,, ,135,14063,96,1990年建/板楼,2室2厅,高楼层/共9层,南北,其他,http://wh.lianjia.com/ershoufang/104100296148.html
585,【团结大道】丽华苑中等装修83.39平两证两年好房,2017-01-04,丽华苑,武昌,徐东,, 一至二环,128,15350,83.39,2008年建/板楼,2室2厅,中楼层/共18层,北,其他,http://wh.lianjia.com/ershoufang/104100296123.html
586,逸景南湾2室1厅70万,2017-01-04,逸景南湾,洪山,珞狮南路,, 二至三环,70,13769,50.84,2012年建/板楼,2室1厅,中楼层/共27层,南,其他,http://wh.lianjia.com/ershoufang/104100296116.html
